id,source_label,candidate_name,role,overall_recommendation,confidence,technical_skill,communication,problem_solving,culture_fit,leadership,key_strengths,key_concerns,seniority_signal,feedback_quality,standout_quote,reasoning,analyzed_at
"1","Full-Stack Engineer","","Full-Stack Engineer","Strong Hire","High","5","5","5","4","4","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Maya did an impressive job across the board","[MOCK MODE] Heuristic extraction — positive signal ratio 88%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.324Z"
"2","Data Scientist","","Data Scientist","Lean No Hire","Medium","3","2","3","2","","Some domain familiarity","Technical gaps identified | Communication concerns","Mid","Detailed","Background in ML is solid — PhD from a decent program, familiar with the standard toolkit (sklearn, XGBoost, some PyTorch)","[MOCK MODE] Heuristic extraction — positive signal ratio 33%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.386Z"
"3","DevOps / SRE","","DevOps / SRE","Hire","High","4","4","4","3","3","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Interview with Leon for the SRE role","[MOCK MODE] Heuristic extraction — positive signal ratio 63%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.448Z"
"4","UX Designer","","UX Designer","Strong Hire","High","5","5","5","4","4","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Aisha's portfolio was the strongest we've seen in this hire cycle","[MOCK MODE] Heuristic extraction — positive signal ratio 100%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.510Z"
"5","Marketing Manager","","Marketing Manager","Hire","High","4","4","4","3","3","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Daniel has a good track record in B2B SaaS marketing — led demand gen at his last place, comfortable with HubSpot and attribution modelling","[MOCK MODE] Heuristic extraction — positive signal ratio 57%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.573Z"
"6","Sales Development Rep","","Sales Development Rep","Strong No Hire","High","1","1","1","","","Some domain familiarity","Technical gaps identified | Communication concerns","Junior","Detailed","He showed up unprepared — didn't know our product, hadn't looked at our website","[MOCK MODE] Heuristic extraction — positive signal ratio 20%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.635Z"
"7","QA Engineer","","QA Engineer","Strong Hire","High","5","5","5","4","4","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","She's done both manual and automation testing — solid Selenium, getting into Cypress","[MOCK MODE] Heuristic extraction — positive signal ratio 88%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.698Z"
"8","Engineering Manager","","Engineering Manager","Hire","High","4","4","4","3","3","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Ravi has managed teams of 8-12 engineers at two different Series B companies","[MOCK MODE] Heuristic extraction — positive signal ratio 67%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.761Z"
"9","Finance Analyst","","Finance Analyst","Strong No Hire","High","1","1","1","","","Some domain familiarity","Technical gaps identified | Communication concerns","Junior","Detailed","The modelling test revealed some issues","[MOCK MODE] Heuristic extraction — positive signal ratio 0%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.838Z"
"10","Customer Success Manager","","Customer Success Manager","Lean No Hire","Medium","3","2","3","2","","Some domain familiarity","Technical gaps identified | Communication concerns","Mid","Detailed","Ben is personable and has good energy — customers would like him","[MOCK MODE] Heuristic extraction — positive signal ratio 33%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.901Z"
"11","Android Developer","","Android Developer","Hire","High","4","4","4","3","3","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Yuki was strong in the technical portion","[MOCK MODE] Heuristic extraction — positive signal ratio 67%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:56.964Z"
"12","Scrum Master","","Scrum Master","Lean Hire","Medium","3","2","3","2","2","Domain knowledge evident | Structured thinking | Good communication","Some gaps noted","Mid","Moderate","Team seemed to like him in the panel session","[MOCK MODE] Heuristic extraction — positive signal ratio 50%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:57.028Z"
"13","Security Engineer","","Security Engineer","Lean Hire","Medium","3","2","3","2","2","Domain knowledge evident | Structured thinking | Good communication","Some gaps noted","Mid","Detailed","Fatima has a background in red-teaming and has transitioned into defensive security — that combination is rare and exactly what we need","[MOCK MODE] Heuristic extraction — positive signal ratio 50%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:57.090Z"
"14","Technical Writer","","Technical Writer","Hire","High","4","4","4","3","3","Domain knowledge evident | Structured thinking | Good communication","","Senior","Detailed","Grace's writing samples were clean and well-structured","[MOCK MODE] Heuristic extraction — positive signal ratio 60%. In production this field is extracted semantically by Claude with full contextual understanding. Run without --mock flag and set VITE_ANTHROPIC_API_KEY to enable real AI extraction.","2026-04-05T06:19:57.152Z"
